"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Tabari_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiya_1" "Ibn-Kathir_1" "Samarqandi_1"
"الآية" 0.165333333333333 0.186666666666667 0.0466666666666667 0.214666666666667 0.146666666666667 0.0773333333333333 0.172 0.333333333333333 0.024 0.141333333333333 0.0653333333333333 0.0613333333333333 0.0773333333333333 0.153333333333333 0.346666666666667 0.562666666666667 0.224 0.165333333333333
"أبي" 0.146666666666667 0.256 0.0306666666666667 0.158666666666667 0.144 0.0373333333333333 0.22 0.044 0.0173333333333333 0.406666666666667 0.0733333333333333 0.0973333333333333 0.06 0.181333333333333 0.0813333333333333 0.28 0.758666666666667 0.136
"محمد" 0.0613333333333333 0.450666666666667 0.0493333333333333 0.133333333333333 0.110666666666667 0.0573333333333333 0.126666666666667 0.0866666666666667 0.122666666666667 0.324 0.048 0.536 0.116 0.0986666666666667 0.0466666666666667 0.301333333333333 0.308 0.152
"رسول" 0.0853333333333333 0.346666666666667 0.0786666666666667 0.394666666666667 0.174666666666667 0.14 0.222666666666667 0.0546666666666667 0.0186666666666667 0.214666666666667 0.206666666666667 0.06 0.0386666666666667 0.133333333333333 0.0306666666666667 0.150666666666667 0.549333333333333 0.170666666666667
"بعد" 0.201333333333333 0.125333333333333 0.130666666666667 0.148 0.184 0.186666666666667 0.113333333333333 0.157333333333333 0.164 0.125333333333333 0.148 0.313333333333333 0.258666666666667 0.161333333333333 0.134666666666667 0.168 0.113333333333333 0.122666666666667
"أهل" 0.126666666666667 0.244 0.084 0.198666666666667 0.130666666666667 0.110666666666667 0.145333333333333 0.1 0.0933333333333333 0.370666666666667 0.144 0.321333333333333 0.182666666666667 0.153333333333333 0.0573333333333333 0.134666666666667 0.141333333333333 0.210666666666667
"كل" 0.196 0.144 0.142666666666667 0.2 0.138666666666667 0.216 0.134666666666667 0.257333333333333 0.0933333333333333 0.0506666666666667 0.178666666666667 0.138666666666667 0.202666666666667 0.109333333333333 0.145333333333333 0.218666666666667 0.149333333333333 0.170666666666667
"يا" 0.0653333333333333 0.216 0.0466666666666667 0.286666666666667 0.106666666666667 0.084 0.161333333333333 0.052 0.122666666666667 0.196 0.092 0.597333333333333 0.0826666666666667 0.133333333333333 0.0293333333333333 0.112 0.261333333333333 0.156
"حتى" 0.138666666666667 0.269333333333333 0.142666666666667 0.221333333333333 0.186666666666667 0.141333333333333 0.2 0.106666666666667 0.0466666666666667 0.0946666666666667 0.182666666666667 0.0826666666666667 0.162666666666667 0.145333333333333 0.0693333333333333 0.141333333333333 0.217333333333333 0.137333333333333
"يوم" 0.145333333333333 0.18 0.0946666666666667 0.2 0.142666666666667 0.12 0.122666666666667 0.092 0.121333333333333 0.134666666666667 0.122666666666667 0.32 0.168 0.150666666666667 0.036 0.161333333333333 0.189333333333333 0.176
"يقول" 0.0346666666666667 0.141333333333333 0.024 0.108 0.036 0.0373333333333333 0.114666666666667 0.0986666666666667 0.0266666666666667 0.852 0.0586666666666667 0.329333333333333 0.036 0.0866666666666667 0.112 0.0706666666666667 0.229333333333333 0.169333333333333
"لما" 0.164 0.0733333333333333 0.221333333333333 0.196 0.0986666666666667 0.126666666666667 0.144 0.333333333333333 0.128 0.0333333333333333 0.157333333333333 0.012 0.269333333333333 0.076 0.182666666666667 0.128 0.110666666666667 0.096
"وفي" 0.190666666666667 0.068 0.072 0.116 0.449333333333333 0.0813333333333333 0.198666666666667 0.113333333333333 0.214666666666667 0.016 0.109333333333333 0.0213333333333333 0.0373333333333333 0.333333333333333 0.128 0.224 0.108 0.0586666666666667
"غير" 0.198666666666667 0.092 0.136 0.113333333333333 0.0813333333333333 0.208 0.148 0.154666666666667 0.0933333333333333 0.132 0.186666666666667 0.0933333333333333 0.130666666666667 0.112 0.273333333333333 0.173333333333333 0.101333333333333 0.0786666666666667
"وقرأ" 0.314666666666667 0.186666666666667 0.272 0.00133333333333333 0.032 0.0173333333333333 0.136 0.028 0 0.04 0.102666666666667 0 0.00933333333333333 0.389333333333333 0.00533333333333333 0.750666666666667 0.00933333333333333 0.2
"عنه" 0.133333333333333 0.128 0.138666666666667 0.14 0.101333333333333 0.177333333333333 0.142666666666667 0.110666666666667 0.0773333333333333 0.096 0.208 0.0253333333333333 0.190666666666667 0.112 0.197333333333333 0.188 0.225333333333333 0.0933333333333333
"فيها" 0.154666666666667 0.118666666666667 0.149333333333333 0.165333333333333 0.196 0.134666666666667 0.117333333333333 0.0666666666666667 0.134666666666667 0.044 0.162666666666667 0.0666666666666667 0.145333333333333 0.162666666666667 0.165333333333333 0.168 0.133333333333333 0.125333333333333
"الدنيا" 0.0853333333333333 0.116 0.088 0.168 0.146666666666667 0.142666666666667 0.0893333333333333 0.122666666666667 0.166666666666667 0.06 0.101333333333333 0.274666666666667 0.232 0.129333333333333 0.0493333333333333 0.106666666666667 0.121333333333333 0.193333333333333
"وما" 0.225333333333333 0.0746666666666667 0.129333333333333 0.236 0.141333333333333 0.16 0.101333333333333 0.0946666666666667 0.0813333333333333 0.110666666666667 0.221333333333333 0.0653333333333333 0.0746666666666667 0.213333333333333 0.0773333333333333 0.156 0.125333333333333 0.0893333333333333
"منه" 0.158666666666667 0.114666666666667 0.116 0.133333333333333 0.12 0.144 0.156 0.172 0.148 0.108 0.206666666666667 0.076 0.145333333333333 0.0893333333333333 0.205333333333333 0.112 0.084 0.0826666666666667
"عبد" 0.0893333333333333 0.385333333333333 0.024 0.072 0.072 0.0506666666666667 0.146666666666667 0.0213333333333333 0.0133333333333333 0.477333333333333 0.08 0.0693333333333333 0.0466666666666667 0.0906666666666667 0.0706666666666667 0.105333333333333 0.462666666666667 0.0906666666666667
"قد" 0.161333333333333 0.137333333333333 0.048 0.158666666666667 0.16 0.0933333333333333 0.149333333333333 0.153333333333333 0.028 0.148 0.101333333333333 0.0786666666666667 0.0906666666666667 0.269333333333333 0.109333333333333 0.161333333333333 0.153333333333333 0.150666666666667
"بين" 0.150666666666667 0.113333333333333 0.130666666666667 0.144 0.118666666666667 0.168 0.118666666666667 0.154666666666667 0.06 0.0266666666666667 0.168 0.128 0.176 0.129333333333333 0.154666666666667 0.12 0.112 0.149333333333333
"عليهم" 0.14 0.121333333333333 0.134666666666667 0.161333333333333 0.128 0.148 0.1 0.102666666666667 0.0866666666666667 0.0386666666666667 0.166666666666667 0.110666666666667 0.168 0.128 0.116 0.132 0.121333333333333 0.168
"ويقال" 0.0333333333333333 0.0186666666666667 0 0.00533333333333333 0.00533333333333333 0.0106666666666667 0.0426666666666667 0.024 0.0213333333333333 0.0106666666666667 0.0213333333333333 0.929333333333333 0.008 0.032 0.00533333333333333 0.0226666666666667 0.012 1.06133333333333
"قول" 0.133333333333333 0.0986666666666667 0.0186666666666667 0.0866666666666667 0.546666666666667 0.044 0.174666666666667 0.0946666666666667 0.00933333333333333 0.144 0.0613333333333333 0.0253333333333333 0.056 0.166666666666667 0.101333333333333 0.362666666666667 0.0586666666666667 0.0733333333333333
"حدثنا" 0 0.261333333333333 0 0.00266666666666667 0.00133333333333333 0 0.012 0 0 0.925333333333333 0 0.00133333333333333 0.00133333333333333 0.00133333333333333 0 0.00133333333333333 0.950666666666667 0.0853333333333333
