identifier,مصر_الثورة_النظام_أى_هى_الدولة_الآن,الشرطة_الأمن_الثورة_التحرير_المتظاهرين_ميدان_مبارك,المجلس_مجلس_وزير_وزارة_أمس_الوزراء_المصرى,المحافظة_وفى_المحافظ_بالمحافظة_مدينة_جنيه_سيناء,مصر_هل_الآن_الناس_الله_ولكن_أحد,AY_العام_النيابة_الدولة_وزير_المستشار_مبارك,الفريق_النادى_الفنى_الكرة_الأول_الأهلى_المباراة,جنيه_مصر_الشركة_شركة_المالية_الشركات_ألف,يا_اللى_أنا_مش_ده_إيه_لى,المسلمين_مصر_الإسلامية_الأقباط_الله_الكنيسة_الإسلام,مدير_النيابة_اللواء_المتهم_الأمن_التحقيقات_القبض,الحزب_الانتخابات_الشعب_الوطنى_مجلس_الإخوان_المجلس,مصر_الأمريكية_المتحدة_العربية_إسرائيل_المصرية_الدول,القذافى_أمس_ليبيا_تونس_الرئيس_وفى_البلاد,الفيلم_فيلم_المصرى_وفى_مصر_العام_السينما
AY041510,0.285061071093016,6.26370184779205e-05,6.26370184779205e-05,6.26370184779205e-05,6.26370184779205e-05,6.26370184779205e-05,6.26370184779205e-05,0.00319448794237394,6.26370184779205e-05,6.26370184779205e-05,6.26370184779205e-05,0.294456623864704,0.347698089570936,0.0689633573441904,6.26370184779205e-05
AY041511,0.195675868846601,1.78683105512374e-05,1.78683105512374e-05,1.78683105512374e-05,0.431537568122934,1.78683105512374e-05,0.124202626641651,1.78683105512374e-05,0.0625569552398821,0.00537836147592245,0.00805860805860806,0.126882873224337,1.78683105512374e-05,1.78683105512374e-05,0.0455820602162066
AY041512,6.70465973851827e-05,6.70465973851827e-05,0.0168286959436809,6.70465973851827e-05,0.0838752933288636,6.70465973851827e-05,0.630305062018103,0.194502179014415,6.70465973851827e-05,6.70465973851827e-05,6.70465973851827e-05,6.70465973851827e-05,0.0604089842440496,6.70465973851827e-05,0.0134763660744217
AY041513,0.128881737731295,0.000160901045856798,0.000160901045856798,0.000160901045856798,0.000160901045856798,0.000160901045856798,0.675945293644409,0.120836685438455,0.000160901045856798,0.000160901045856798,0.000160901045856798,0.000160901045856798,0.000160901045856798,0.000160901045856798,0.0725663716814159
AY041514,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.185769528228925,0.000154679040989946,0.65754060324826,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.154833720030936,0.000154679040989946,0.000154679040989946
AY041515,0.000171969045571797,0.000171969045571797,0.000171969045571797,0.146345657781599,0.12914875322442,0.000171969045571797,0.507480653482373,0.000171969045571797,0.000171969045571797,0.000171969045571797,0.000171969045571797,0.000171969045571797,0.10335339638865,0.000171969045571797,0.11195184866724
AY041516,0.220829655781112,0.000176522506619594,0.0266548984995587,0.0531332744924978,0.000176522506619594,0.000176522506619594,0.247308031774051,0.000176522506619594,0.000176522506619594,0.000176522506619594,0.150220653133274,0.000176522506619594,0.000176522506619594,0.300264783759929,0.000176522506619594
AY041517,0.0544735541275334,9.88630746416214e-05,0.202768166089965,9.88630746416214e-05,9.88630746416214e-05,9.88630746416214e-05,0.627879387048937,9.88630746416214e-05,9.88630746416214e-05,9.88630746416214e-05,9.88630746416214e-05,0.113791398912506,9.88630746416214e-05,9.88630746416214e-05,9.88630746416214e-05
AY041518,0.259116703676289,4.93461633358006e-05,4.93461633358006e-05,4.93461633358006e-05,0.513249444855662,4.93461633358006e-05,0.212237848507279,0.00251665433012583,4.93461633358006e-05,4.93461633358006e-05,4.93461633358006e-05,4.93461633358006e-05,4.93461633358006e-05,4.93461633358006e-05,0.012385886997286
AY041519,0.115052389470994,5.11116790186558e-05,0.0230513672374137,5.11116790186558e-05,0.0716074623051367,5.11116790186558e-05,0.782059800664452,5.11116790186558e-05,0.00516227958088423,5.11116790186558e-05,5.11116790186558e-05,5.11116790186558e-05,5.11116790186558e-05,0.00260669562995144,5.11116790186558e-05
