identifier,حالة_قانون_أمن_الدولة_الطوارئ_القانون_التظاهر,المواطنين_الامن_النار_المسلحة_عناصر_وأضاف_مدينة,السيد_دمشق_العام_جامعة_العربية_وزيرا_العربي,بغداد_بجروح_الشرطة_العراقية_مقتل_مصدر_العراق,سورية_التعاون_البلدين_العلاقات_السورية_مجلس_الوزراء,الرئيس_الأسد_سورية_المنطقة_العلاقات_الخارجية_وزير,العامة_مجلس_المادة_رقم_القانون_مشروع_وزير,الشهيد_الوطن_الشرطي_للوطن_سورية_الله_الشهداء,العربية_الدولية_الدولي_الدول_اسرائيل_المتحدة_العربي,الاحتلال_الفلسطينية_الاسرائيلي_قوات_الفلسطينيين_غزة_مدينة,ليبيا_الليبية_الليبي_أمس_وكالة_الشعب_مصر,سورية_الوطنية_الرئيس_الشعب_السوري_الأسد_السورية,لبنان_اللبنانية_اللبناني_الله_السورية_المقاومة_السوريين,مم_المنطقة_منطقة_محافظة_درجات_الحرارة_دمشق,المتحدة_ونقلت_الولايات_قوله_أمس_العام_الامريكية
TH20110406$353,0.421046301864101,0.000120264582080577,0.0482260974143115,0.000120264582080577,0.000120264582080577,0.000120264582080577,0.168490679494889,0.0843054720384847,0.000120264582080577,0.000120264582080577,0.000120264582080577,0.000120264582080577,0.276728803367408,0.000120264582080577,0.000120264582080577
TH20110406$354,4.11268764137364e-05,4.11268764137364e-05,4.11268764137364e-05,4.11268764137364e-05,4.11268764137364e-05,0.117252724655562,0.102858317910755,0.0637877853177051,4.11268764137364e-05,4.11268764137364e-05,4.11268764137364e-05,0.715648776475427,4.11268764137364e-05,4.11268764137364e-05,4.11268764137364e-05
TH20110407$355,0.000182982616651418,0.000182982616651418,0.000182982616651418,0.000182982616651418,0.000182982616651418,0.814455626715462,0.000182982616651418,0.000182982616651418,0.000182982616651418,0.000182982616651418,0.000182982616651418,0.18316559926807,0.000182982616651418,0.000182982616651418,0.000182982616651418
TH20110407$356,0.000115406809001731,0.000115406809001731,0.000115406809001731,0.000115406809001731,0.144373918061166,0.732948643969994,0.000115406809001731,0.000115406809001731,0.000115406809001731,0.000115406809001731,0.000115406809001731,0.121292556260819,0.000115406809001731,0.000115406809001731,0.000115406809001731
TH20110407$357,0.0716289722301746,5.72573718866304e-05,0.1374749498998,5.72573718866304e-05,0.0687661036358431,5.72573718866304e-05,0.0143716003435442,5.72573718866304e-05,5.72573718866304e-05,5.72573718866304e-05,5.72573718866304e-05,0.707185800171772,5.72573718866304e-05,5.72573718866304e-05,5.72573718866304e-05
TH20110407$358,0.000203458799593082,0.122278738555443,0.000203458799593082,0.000203458799593082,0.000203458799593082,0.000203458799593082,0.000203458799593082,0.000203458799593082,0.000203458799593082,0.000203458799593082,0.183316378433367,0.000203458799593082,0.691963377416073,0.000203458799593082,0.000203458799593082
TH20110407$359,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.995113438045375,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056
TH20110407$360,0.00103626943005181,0.104663212435233,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.881865284974093,0.00103626943005181,0.00103626943005181
TH20110407$361,0.00033167495854063,0.00033167495854063,0.381757877280265,0.00033167495854063,0.00033167495854063,0.00033167495854063,0.00033167495854063,0.00033167495854063,0.00033167495854063,0.00033167495854063,0.00033167495854063,0.481260364842454,0.133001658374793,0.00033167495854063,0.00033167495854063
TH20110407$362,0.000216684723726977,0.000216684723726977,0.000216684723726977,0.000216684723726977,0.000216684723726977,0.000216684723726977,0.000216684723726977,0.000216684723726977,0.671939328277356,0.2602383531961,0.000216684723726977,0.000216684723726977,0.0327193932827736,0.000216684723726977,0.0327193932827736
