"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiya_1" "Samarqandi_1"
"كما" 0.250666666666667 0.168 0.181333333333333 0.150666666666667 0.145333333333333 0.268 0.236 0.213333333333333 0.144 0.358666666666667 0.118666666666667 0.124 0.170666666666667 0.177333333333333 0.218666666666667 0.14
"يكون" 0.385333333333333 0.102666666666667 0.162666666666667 0.14 0.12 0.133333333333333 0.206666666666667 0.461333333333333 0.0306666666666667 0.246666666666667 0.076 0.0653333333333333 0.161333333333333 0.353333333333333 0.289333333333333 0.109333333333333
"هذه" 0.254666666666667 0.176 0.0693333333333333 0.265333333333333 0.130666666666667 0.117333333333333 0.186666666666667 0.477333333333333 0.0413333333333333 0.110666666666667 0.0866666666666667 0.0973333333333333 0.24 0.169333333333333 0.46 0.16
"عباس" 0.206666666666667 0.324 0.012 0.269333333333333 0.532 0.0533333333333333 0.272 0.0853333333333333 0.0293333333333333 0.0626666666666667 0.0453333333333333 0.0813333333333333 0.598666666666667 0.024 0.305333333333333 0.137333333333333
"أبو" 0.202666666666667 0.438666666666667 0.0346666666666667 0.0893333333333333 0.193333333333333 0.0773333333333333 0.272 0.0706666666666667 0.0133333333333333 0.0693333333333333 0.0573333333333333 0.0693333333333333 0.489333333333333 0.178666666666667 0.490666666666667 0.158666666666667
"كل" 0.184 0.141333333333333 0.192 0.2 0.158666666666667 0.197333333333333 0.144 0.229333333333333 0.092 0.168 0.128 0.242666666666667 0.152 0.144 0.197333333333333 0.133333333333333
"الآية" 0.138666666666667 0.154666666666667 0.048 0.22 0.137333333333333 0.056 0.166666666666667 0.306666666666667 0.0226666666666667 0.0546666666666667 0.056 0.0786666666666667 0.182666666666667 0.338666666666667 0.532 0.14
"بعد" 0.144 0.108 0.166666666666667 0.136 0.181333333333333 0.16 0.125333333333333 0.126666666666667 0.16 0.181333333333333 0.293333333333333 0.241333333333333 0.141333333333333 0.156 0.134666666666667 0.128
"يوم" 0.12 0.176 0.105333333333333 0.221333333333333 0.158666666666667 0.114666666666667 0.132 0.0853333333333333 0.145333333333333 0.102666666666667 0.36 0.162666666666667 0.184 0.0346666666666667 0.177333333333333 0.176
"محمد" 0.052 0.430666666666667 0.0386666666666667 0.138666666666667 0.102666666666667 0.06 0.121333333333333 0.0533333333333333 0.116 0.06 0.549333333333333 0.113333333333333 0.101333333333333 0.044 0.318666666666667 0.154666666666667
"وقرأ" 0.36 0.182666666666667 0.273333333333333 0 0.0386666666666667 0.0146666666666667 0.114666666666667 0.0306666666666667 0 0.112 0 0.00666666666666667 0.401333333333333 0.00666666666666667 0.692 0.218666666666667
"حتى" 0.134666666666667 0.28 0.133333333333333 0.246666666666667 0.209333333333333 0.105333333333333 0.192 0.096 0.0546666666666667 0.192 0.0933333333333333 0.174666666666667 0.162666666666667 0.0826666666666667 0.125333333333333 0.158666666666667
"يا" 0.0786666666666667 0.230666666666667 0.04 0.289333333333333 0.1 0.084 0.161333333333333 0.068 0.108 0.092 0.608 0.0986666666666667 0.116 0.032 0.105333333333333 0.182666666666667
